freq	siec	plant_tec	operator	unit	geo\TIME_PERIOD	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A	CF	CAP_NET_ELC	PRR_MAIN	MW	AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	97	98	98	98	98	98	98	98	98	98	98	98
A	CF	CAP_NET_ELC	PRR_MAIN	MW	AT	4743	4750	5133	5061	5079	5028	5031	5199	4917	5089	5062	5194	5049	5095	5321	5243	5280	5008	5874	5712	5582	6339	6347	6326	6136	5964	5561	5271.568	5244.463	4593.224	4608.505	4991.332	4360.461	4506.622
A	CF	CAP_NET_ELC	PRR_MAIN	MW	BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1765	1765	2065	2065	2065.25	2066.22	2066.12	2067.74	2067.74	2067.74
A	CF	CAP_NET_ELC	PRR_MAIN	MW	BE	6490	6445	6394	6433	7298	7211	7126	6945	7650	7746	8105	7934	7930	7960	7964	8223	8313	8293	8165	8391	8397	9128	8182	7559	7202	7199	7167.9	7019.3	6667.4	6462.6	6403.8	6282	6278.1	6201.7
A	CF	CAP_NET_ELC	PRR_MAIN	MW	BG	0	0	0	0	0	0	0	0	4977	5172	5128	7043	6419	6419	6419	6419	6205	4710	4466	4325	4522	4495	4849	4636	4410	3854	3635	3550.967	3985.986	3936.461	3650.998	3682.936	5111.821	5177.911
A	CF	CAP_NET_ELC	PRR_MAIN	MW	CY	0	0	0	0	0	690	690	690	690	728	988	988	988	988	988	1118	1118	1118	1168	1389	1439	1555	1525	1481	1481	1481	1481	1480.19	1480.51	1480.51	1480.51	1480.436	1480.436	1484.936
A	CF	CAP_NET_ELC	PRR_MAIN	MW	CZ	10229	9898	9464	9357	9086	9143	9374	9471	9181	9142	9187	9221	9266	9373	9416	9321	9330	9318	9450	9626	10346	10244	10273	10498	11342	11275	11385	11582.3	11605.078	11290.027	10747.947	10269.351	10193.619	10268.072
A	CF	CAP_NET_ELC	PRR_MAIN	MW	DE	55632	70667	68737	67918	67572	68658	68841	69290	68508	68520	70792	69047	71072	66988	69939	68377	68717	70327	72299	73791	76351	80050	82912	82072	87747	86552	85409	83824	91301	89570	87357	88178	89170	88957
A	CF	CAP_NET_ELC	PRR_MAIN	MW	DK	8624	9024	9407	9674	9547	9914	9629	9909	9953	9591	9375	9431	9166	9180	9215	9258	9204	9228	9171	9250	8984	8977	8870	7836	7506	7520.704	7501.226	7285.763	7222.54	7201.832	7006.14	6909.061	6873.217	6847.652
A	CF	CAP_NET_ELC	PRR_MAIN	MW	EE	0	0	0	0	0	0	0	0	0	2834	2771	2415	2377	2379	2650	2492	2495	2544	2584	2537	2616	2621	2630	2637	2733	2526	2226	2183	2445	2280	2182	1670	1668	1663
A	CF	CAP_NET_ELC	PRR_MAIN	MW	EL	5900	6183	6222	6073	6153	6172	6356	6600	6902	7468	7392	7427	7992	8383	8602	9451	9440	9505	9517	9667	10075	10508	10704	10702	10427	10294	10231	10233.56	10075.52	10075.52	9403.52	9013.52	9819.52	9819.52
A	CF	CAP_NET_ELC	PRR_MAIN	MW	ES	19464	19545	19630	19697	19587.55	19922.35	20485.35	21030.55	21075.55	21176.55	21468.55	21771.55	23982.55	24313.5	28914.55	34189.55	37002.55	40708.55	41081.55	40947.205	43597.205	42880.205	42880.205	42880.205	42880.205	43168.905	42242.905	40298.905	39963.399	39718.213	35817.821	33848.721	33549.351	33532.431
A	CF	CAP_NET_ELC	PRR_MAIN	MW	FI	6460	6475	6479	7062	7134	7375	7388	8020	8278	8335	8428	8628	8618	8594	8541	8406	8468	8565	7693	7431	7571	7699	7707	8349	7735	7743	6826	6958	6863	6860	6433	6355	6297	6026
A	CF	CAP_NET_ELC	PRR_MAIN	MW	FR	16162	16127	16262	17233	17164	17550	17684	17813	17313	19696	21496	22546	23268	22998	22791	21835	21091	20991	21215	22971	24328	24806.11	23967.636	22030.042	20491.419	22335.737	21117.041	18269.47	17119.378	16997.728	17183.026	17459.666	17363.873	17288.102
A	CF	CAP_NET_ELC	PRR_MAIN	MW	GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1126	1116.06
A	CF	CAP_NET_ELC	PRR_MAIN	MW	HR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1591	1591	1603	1603	1683	1688	1694	1698	1694	1696	1951	1961	1984.2	1980	1609	1380.6	1399.7	1412.1	1411.8
A	CF	CAP_NET_ELC	PRR_MAIN	MW	HU	5165	5172	5175	5155	5217	5329	5462	5464	5777	5762	6185	6282	6403	6203	6526	6519	6537	6472	6453	6547	6497	7097	6906	5831	6007	5856	5878	5867	5867	5873	5871	5875	5644	5655
A	CF	CAP_NET_ELC	PRR_MAIN	MW	IE	3225	3225	3337	3323	3296	3444	3573	3618	3768	3658	3936	3936	4629	4812.2	4798.7	4936.7	5322.924	5720.522	5490.453	5447.322	6206.432	6209.632	6068.162	6092.161	6088.034	6339.463	6333.278	6378.018	6375.713	6032.373	5928.373	5747.373	5609.044	5537.194
