STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),plant_tec,Technical characteristics of plants,operator,Operator/Trader,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2014,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2015,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2016,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2017,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2018,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2019,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2020,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2021,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2022,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AL,Albania,2023,,98.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2014,,6136.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2015,,5964.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2016,,5561.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2017,,5271.568,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2018,,5244.463,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2019,,4593.224,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2020,,4608.505,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2021,,4991.332,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2022,,4360.461,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,AT,Austria,2023,,4506.622,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,BA,Bosnia and Herzegovina,2014,,1765.000,,,,,
dataflow,ESTAT:NRG_INF_EPC(1.0),Electricity production capacities by main fuel groups and operator,A,Annual,CF,Combustible fuels,CAP_NET_ELC,Net maximum electrical capacity,PRR_MAIN,Main activity producers,MW,Megawatt,BA,Bosnia and Herzegovina,2015,,1765.000,,,,,
