DATAFLOW,LAST UPDATE,freq,network,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,AL,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,AL,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,AL,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,AT,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,AT,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,AT,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BA,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BG,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BG,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,BG,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,CY,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,CY,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,CY,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,CZ,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,CZ,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,CZ,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,DE,2021,262.484,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,DE,2022,221.699,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES,GWH,DE,2023,221.699,,
