DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2004,29.62,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2005,31.367,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2006,32.07,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2007,32.657,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2008,32.448,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2009,31.437,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2010,31.867,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2011,31.187,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2012,35.152,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2013,33.167,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2014,31.856,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2015,34.913,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2016,36.953,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2017,35.776,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2018,36.572,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2019,38.042,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2020,45.015,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2021,41.389,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2022,44.076,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AL,2023,46.620,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2004,22.553,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2005,24.353,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2006,26.276,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2007,28.144,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2008,28.788,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2009,31.039,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2010,31.205,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2011,31.552,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2012,32.734,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2013,32.665,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2014,33.55,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2015,33.497,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2016,33.37,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2017,33.136,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2018,33.784,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2019,33.755,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2020,36.545,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2021,34.792,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2022,34.075,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,AT,2023,40.844,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2014,24.873,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2015,26.607,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2016,25.358,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2017,23.241,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2018,35.972,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2019,37.454,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2020,39.835,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BA,2021,36.562,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,BE,2004,1.916,,
