DATAFLOW,LAST UPDATE,freq,siec,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,AL,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,AL,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,AL,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,AT,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,AT,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,AT,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,BE,2021,46.6,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,BE,2022,34.8,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,BE,2023,40.1,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,BG,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,BG,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,BG,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,CY,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,CY,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,CY,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,CZ,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,CZ,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,CZ,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,DE,2021,0.000,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,DE,2022,0.000,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,DE,2023,0.000,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,DK,2021,137.3,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,DK,2022,123.6,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,DK,2023,116.6,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EA20,2021,154.800,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EA20,2022,142.700,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EA20,2023,158.500,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EE,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EE,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EE,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EL,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EL,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EL,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,ES,2021,19.9,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,ES,2022,20.1,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,ES,2023,20.1,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EU27_2020,2021,293.100,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EU27_2020,2022,267.300,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,EU27_2020,2023,276.100,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,FI,2021,0.000,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,FI,2022,0.000,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,FI,2023,0.000,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,FR,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,FR,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,FR,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,GE,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,GE,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,GE,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,HR,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,HR,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,HR,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,HU,2021,1,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,HU,2022,1,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,HU,2023,1,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IE,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IE,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IE,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IS,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IS,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IT,2021,9.2,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IT,2022,10.3,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,IT,2023,21.6,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LT,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LT,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LT,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LU,2021,79.100,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LU,2022,77.500,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LU,2023,76.700,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LV,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LV,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,LV,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MD,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MD,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MD,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,ME,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,ME,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,ME,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MK,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MK,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MK,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MT,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MT,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,MT,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,NL,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,NL,2022,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,NL,2023,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,NO,2021,0,,
ESTAT:NRG_IND_URHCD(1.0),07/03/25 23:00:00,A,H8200,GHP_RED,KTOE,NO,2022,0,,
